Cristiano Ronaldo dos Santos Aveiro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raúl Alonso Jiménez Rodríguez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jaime Mata Arnaiz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moussa Marega can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raúl de Tomás Gómez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wesley Moraes Ferreira da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André Miguel Valente da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Richarlison de Andrade can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michy Batshuayi Tunga can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Alario can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mariano Díaz Mejía can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mbwana Ally Samatta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Karl Brillant Toko Ekambi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joshua King can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Haris Seferović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Carrilho Baptistão can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Burak Yılmaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mathieu Debuchy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin-Prince Boateng can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ángel Luís Rodríguez Díaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Modeste can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nikola Kalinić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cristhian Ricardo Stuani Curbelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Salomón Rondón Giménez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Ángel Valdés Díaz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
艾克森 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enrique García Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ishak Belfodil can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Caligiuri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Luís Mendes Andrade can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Arturo Bacca Ahumada can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Abderrazak Hamdallah can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Darío Benedetto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dyego Wilverson Ferreira Sousa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francisco das Chagas Soares dos Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Denis Lemi Zakaria Lako Lado can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jean-Philippe Mateta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Joelinton Apolinário de Lira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gaëtan  Laborde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Davie Selke can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Divock Origi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Gregoritsch can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aleksandar Mitrović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andy Delort can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vincent Paté Aboubakar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mark Uth can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mbaye Diagne can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guillaume Hoarau can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ryan Guno Babel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felipe Salvador Caicedo Corozo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dieumerci Mbokani Bezua can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Javier Hernández Balcázar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Troy Deeney can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nils Petersen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sandro Wagner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Nii Tackie Mensah Welbeck can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ashley Barnes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Artem Dzyuba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alan Douglas Borges de Carvalho can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daniel Ginczek can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alfreð Finnbogason can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Santiago Damián García Correa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jorge Djaniny  Tavares Semedo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo Pavoletti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Germán Ezequiel Cano can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Omar Al Soma can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aluísio Chaves Ribeiro Moraes Júnior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Patrick Cutrone can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giovanni Pablo Simeone can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Antonio Sanabria can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enes Ünal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emmanuel Okyere Boateng can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dominic Calvert-Lewin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja Mayoral Moya can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andrea Petagna can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gastón Rodrigo Pereiro López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
João Paulo Dias Fernandes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Chris Wood can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Niclas Füllkrug can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rubén Sobrino Pozuelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kevin Lasagna can substitute for the position ls, Left striking position, which is a(n) attacker position. 
João Alves de Assis Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Klaas-Jan Huntelaar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Darío Cvitanich can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jefferson Agustín Farfán Guadalupe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vedad Ibišević can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Graziano Pellè can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bradley Wright-Phillips can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Glenn Murray can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Berg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Loïc Rémy can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giovanni Sio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alan Kardec de Souza Pereira Junior can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Odion Jude Ighalo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Daryl Janmaat can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gustavo Leonardo Bou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Teemu Pukki can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Johnathan Aparecido da Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Cenk Tosun can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guido Burgstaller can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Youssef El Arabi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rogelio Gabriel Funes Mori can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio León Limones can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roger Martí Salvador can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Facundo Ferreyra can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Adam Marušić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ramón Ábila can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sergio Guardiola Navarro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Estevão Daniel Formoso Serpa can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moise Kean can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Breel-Donald Embolo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Tammy Abraham can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Donyell Malen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gedson Carvalho Fernandes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fedor Chalov can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ignacio Pussetto can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kasper Dolberg can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Youssef En-Nesyri can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gonçalo Mendes Paciência can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marko Livaja can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jürgen Locadia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jhon Córdoba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Florin Andone can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Callum McGregor can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Danny Ings can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Manolo Gabbiadini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
John Guidetti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Luiz Phellype Luciano Silva can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rodrigo Aliendro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jermain  Defoe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jimmy Briand can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oscar Wendt can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roberto Soldado Rillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mario Gómez García can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Gustavo Sand can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leonardo de Matos Cruz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dušan Basta can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jay Rodriguez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jozy Altidore can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ola Toivonen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jean-Eric Maxim Choupo-Moting can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Simon Terodde can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ádám Szalai can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andre Gray can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jackson Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Giovanni Moreno can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Teófilo Gutiérrez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roberto Inglese can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolai Jørgensen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emmanuel Gigliotti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Raúl Mario Ruidíaz Misitich can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dwight Gayle can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enner Valencia can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Badou Ndiaye can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dênis Rubens Stein Rebelo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
小林 悠 can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anthony Nwakaeme can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ángelo Damián Vera can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sandro Tonali can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Fernández Luna can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alfredo José Morelos Aviléz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Landry Dimata can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Kouamé can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francisco José Beltrán Peinado can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michel Vlap can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rémi Oudin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alberth Elis can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Juan Camilo Hernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ezequiel Ponce can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcus Thuram can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yves Bissouma can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ezequiel Ávila can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pierre Kunde Malong can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ludovic Ajorque can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vedat Muriqi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Omar Kharbin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Borja González Tomás can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Michael Krmenčík can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pape Moussa Konaté can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Castillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan Javier Rodríguez Portillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Vincent Janssen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Fassnacht can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Josip Drmić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francisco Sol Ortiz can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Claudio Miguel Pizarro Bossio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lukas Podolski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hugo Rodallega Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Martin Harnik can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Papiss Demba Cissé can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stefano Okaka Chuka can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ola  Williams Kamara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oscar René Cardozo Marín can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Dame N'Doye can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andy Carroll can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Konstantinos Mitroglou can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Benteke Liolo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matteo Darmian can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ricky van Wolfswinkel can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alberto Paloschi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Francesco Caputo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Yannick Bolasie Yala can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathas de Jesus Maurício can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Davide Santon can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Aleksandar Prijović can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Éderzito António Macedo Lopes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Enrique González Casín can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wilfried Guemiand Bony can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gaëtan Charbonnier can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Martin Braithwaite can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mattia Destro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Javier López Rodríguez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Charlie Austin can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jordan Ayew can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Franco Daniel Jara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicolás Blandi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Łukasz Teodorczyk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Federico Javier Santander Mereles can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Darlington Nagbe can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabrício dos Santos Messias can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Valère Germain can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alfredo Donnarumma can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Hillel El Arbi Soudani can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Fernández can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Júnior Fernandes can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Robert Berić can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Julio Furch can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Guido Carrillo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André Luís Gomes Simões can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Nicholas Júlio Aldair Leal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Léandre Tawamba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Pedro Vaquizo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jonathan David can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Djibril Sow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Victor James Osimhen can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Odsonne Edouard can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Emanuel Cecchini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Alexander Isak can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lebo Mothiba can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Albian Ajeti can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Sam Lammers can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oliver McBurnie can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Che Adams can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Christian Bassogog can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bruno Petković can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Habib Diallo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Anwar El Ghazi can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Roger Martínez can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Harold Fabián Preciado Villarreal can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Jean-Pierre Nsame can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Loïs Diony can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lucas Cavallini can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Felipe Mora can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Khouma El Hadji Babacar can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Andreas Evald Cornelius can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Carlos Gabriel González Espínola can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Stéphane Bahoken can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Angel Romero can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Henry Josué Martín Mex can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Gustavo Ezequiel Blanco Leschuk can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Oribe Peralta Morones can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Billy Sharp can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Shane  Long can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Moussa Sow can substitute for the position ls, Left striking position, which is a(n) attacker position. 
José Luis Sanmartín Mato can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Kaiansu Kei Kamara can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Mevlüt Erdinç can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Federico Rafael González can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Rouwen Hennings can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Matías Gustavo Alustiza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Bruno Fornaroli Mezza can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Marcel Risse can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Milton Joel Caraglio can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Fabian Klos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diafra Sakho can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leandro Damião da Silva dos Santos can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Ilija Nestorovski can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lukas Hinterseer can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Camilo da Silva Sanvezzo can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Leigh Griffiths can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Lorenzo António Melgarejo Sanabria can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Diego Queiroz de Oliveira can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Harlem-Eddy Gnohéré can substitute for the position ls, Left striking position, which is a(n) attacker position. 
André Hahn can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Florian Niederlechner can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Édgar Felipe Pardo Castro can substitute for the position ls, Left striking position, which is a(n) attacker position. 
Wilson David Morelo López can substitute for the position ls, Left striking position, which is a(n) attacker position. 
